isbn,title,author,category,imagelink
0071466126,"Teach Yourself Aromatherary","Denise Brown","Health & Fitness",http://books.google.com/books/content?id=HHBMR3gstbgC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0131543725,"The Economic Way of Thinking","Paul Heyne","Business & Economics",http://books.google.com/books/content?id=Q9N-kQPW6dEC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0132715252,"Microsoft IIS 6 Delta Guide","Martin C. Brown",Computers,http://books.google.com/books/content?id=sH-nYTKDUL0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0132802562,Economics,"Christopher St. J. Yates",Economics,
0140053204,"Travels with Charley","John Steinbeck",Travel,http://books.google.com/books/content?id=NZmvM-B8A-EC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0140187391,"The Red Pony","John Steinbeck",Fiction,http://books.google.com/books/content?id=ARbHAtDL4okC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0140187448,"The Log from the Sea of Cortez","John Steinbeck",Science,http://books.google.com/books/content?id=G4Djb_RZ34MC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0140621806,"Crime and Punishment","Fyodor Dostoyevsky",Fiction,http://books.google.com/books/content?id=kK5ruAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0141439823,"Robinson Crusoe","Daniel Defoe",Fiction,http://books.google.com/books/content?id=0Xhfyz152GgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0142000663,"The Grapes of Wrath","John Steinbeck",Fiction,http://books.google.com/books/content?id=TdhaZ6xEaBYC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0142404624,"Travel Team","Mike Lupica","Juvenile Fiction",http://books.google.com/books/content?id=2MPND7Va03oC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0142410926,Curveball,"Rich Wallace","Juvenile Fiction",http://books.google.com/books/content?id=Q0KJi7JqEI0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0142411531,"Summer Ball","Mike Lupica","Juvenile Fiction",http://books.google.com/books/content?id=_kRyBk82O2cC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0142417807,"The Sky Is Everywhere","Jandy Nelson","Juvenile Fiction",http://books.google.com/books/content?id=AsmxRAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0143134205,"The Little Drummer Girl","John Le Carre",Fiction,http://books.google.com/books/content?id=5bYvuQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0152053689,"Steal Back the Mona Lisa!","Meghan McCarthy","Juvenile Fiction",http://books.google.com/books/content?id=EKzDUNHzRVEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0156148501,"Burmese Days","George Orwell",Fiction,http://books.google.com/books/content?id=I5PsHo6PNmUC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0156907399,"To the Lighthouse","Virginia Woolf",Fiction,http://books.google.com/books/content?id=ng0Tg0FhRggC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0192833537,"Occasional, Critical, and Political Writing","James Joyce","Literary Criticism",http://books.google.com/books/content?id=vdhWenAcwCUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
019505038X,"Electric Fields of the Brain","Paul L. Nunez",Medical,http://books.google.com/books/content?id=fUv54as56_8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0195160193,"African American National Biography","GATES, Henry Louis, Jr.","Biography & Autobiography",http://books.google.com/books/content?id=yCoOAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0195347455,"A Gentleman of Color","Julie Winch","Social Science",http://books.google.com/books/content?id=kzXCm37xFR4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0201709147,"Essential XML","Don Box",Computers,http://books.google.com/books/content?id=33gg-c7KHskC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0226075702,"Brooks, Douglas Renfrew: Secret of the Three Cities","Douglas Renfrew Brooks",Religion,http://books.google.com/books/content?id=dXD8crHUdPQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0231123086,"Social Work and Human Rights","Elisabeth Reichert","Political Science",http://books.google.com/books/content?id=djP3BqmyT_UC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0231141203,"Confucian Tradition and Global Education","William Theodore De Bary",Education,http://books.google.com/books/content?id=UtMWITrKPhgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0237527588,"Countries of World Chile","Marion Morrison",Chile,http://books.google.com/books/content?id=XBk-3WOGsoYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0237532425,"Carry It!","Julia Lawson","Lifting and carrying",http://books.google.com/books/content?id=ZjOO8K1tlxIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0252012917,"James Joyce","Morris Beja",Fiction,http://books.google.com/books/content?id=o8YTitdGWr8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
025206125X,"The Short Fiction of Edgar Allan Poe","Edgar Allan Poe",Fiction,http://books.google.com/books/content?id=1otbM6mXXCMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0275935043,"Survival of the Black Family","K. Sue Jewell","Family & Relationships",http://books.google.com/books/content?id=rXOXS-nRfnkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0275991253,"Courting the Media","Margaret A. Mackenzie","Business & Economics",http://books.google.com/books/content?id=ng3fyZwSqKYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0292706863,Dugout,"Terry Allen",Art,http://books.google.com/books/content?id=V8jGOlyPO5gC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0292743459,"Mixing It Up","SanSan Kwan","Social Science",http://books.google.com/books/content?id=RqKge9GXStAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0299189708,"Excerpts from a Family Medical Dictionary","Rebecca Brown","Biography & Autobiography",http://books.google.com/books/content?id=hLt4XOOyuGoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0300046642,"The Lives and Times of Ebenezer Scrooge","Paul Benjamin Davis","Health & Fitness",http://books.google.com/books/content?id=aXkt53LmA-EC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0300111967,"The Jewel House","Deborah E. Harkness",Science,http://books.google.com/books/content?id=L79hED6ExFAC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0300145055,"On Eloquence","Denis Donoghue","Language Arts & Disciplines",http://books.google.com/books/content?id=kxxpeJKPsCEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0304315176,"Earth Sciences","Christopher St. J. Yates","English language",
0304315982,Agriculture,"Christopher St. J. Yates",Agriculture,
0304330035,"May I Help You?","Christopher St. J. Yates","English language",
0307279782,"Apex Hides the Hurt","Colson Whitehead",Fiction,http://books.google.com/books/content?id=XxgREY-5Q3sC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307386589,"The Bluest Eye","Toni Morrison",Fiction,http://books.google.com/books/content?id=12_KUGLXigMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307386619,"The Keep","Jennifer Egan",Fiction,http://books.google.com/books/content?id=W3uNogIseAcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307388107,Jazz,"Toni Morrison",Fiction,http://books.google.com/books/content?id=JvcvHpLfVPoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307388123,"Song of Solomon","Toni Morrison",Fiction,http://books.google.com/books/content?id=RxkWfF2s7EUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307388131,Sula,"Toni Morrison",Fiction,http://books.google.com/books/content?id=ozQcu_ADXiAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307428281,"The Colossus of New York","Colson Whitehead","Literary Collections",http://books.google.com/books/content?id=uoo-M-K4y40C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
030743348X,"I Am the Messenger","Markus Zusak","Young Adult Fiction",http://books.google.com/books/content?id=qCDyT1q6OjIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307486672,"John Henry Days","Colson Whitehead",Fiction,http://books.google.com/books/content?id=fNUC1h7xwYwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307566730,Palomino,"Danielle Steel",Fiction,http://books.google.com/books/content?id=TlbD5lqkQ30C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307567370,"Demolition Angel","Robert Crais",Fiction,http://books.google.com/books/content?id=dVp1BITGK0IC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307567699,Hostage,"Robert Crais",Fiction,http://books.google.com/books/content?id=6akRF77VB5gC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307567850,"L.A. Requiem","Robert Crais",Fiction,http://books.google.com/books/content?id=ngyclfU8IiwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307593622,"A Visit from the Goon Squad","Jennifer Egan",Fiction,http://books.google.com/books/content?id=WJWmSp0PbLAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307739430,Zeitoun,"Dave Eggers","Biography & Autobiography",http://books.google.com/books/content?id=60HJ7NklOGMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307756548,"Dawn on a Distant Shore","Sara Donati",Fiction,http://books.google.com/books/content?id=UUHH6nCBGi8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307762467,"The Crossing","Cormac McCarthy",Fiction,http://books.google.com/books/content?id=PziJ40EAlVkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307762475,Suttree,"Cormac McCarthy",Fiction,http://books.google.com/books/content?id=ZGNzeO8EGpIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0307762521,"Blood Meridian","Cormac McCarthy",Fiction,http://books.google.com/books/content?id=s-QzccStux4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0312001312,"The Honeymoon","Knut Faldbakken","Erotic stories",
0312420633,"For Rouenna","Sigrid Nunez",Fiction,http://books.google.com/books/content?id=JDtVeZjxSfsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0312422733,"A Feather on the Breath of God","Sigrid Nunez",Fiction,http://books.google.com/books/content?id=Y9KesaEJSDcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0312425945,"The Last of Her Kind","Sigrid Nunez",Fiction,http://books.google.com/books/content?id=Nk15267VXm0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0312426054,"Beyond Black","Hilary Mantel",Fiction,http://books.google.com/books/content?id=cqXdTGo58A0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0312938195,"Chasing the Devil","David Reichert","True Crime",http://books.google.com/books/content?id=AT5ZrXOBTHEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0316273945,"Target: Alex Cross","James Patterson",Fiction,http://books.google.com/books/content?id=5ZDnswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0316391344,Room,"Emma Donoghue",Fiction,http://books.google.com/books/content?id=rBXSuQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0316417556,"The Great American Read: The Book of Books",PBS,"Literary Collections",http://books.google.com/books/content?id=jAyMswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0316418242,"Liar Liar","James Patterson",Fiction,http://books.google.com/books/content?id=g-i1tgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0316449504,"Seal Team Six: Hunt the Wolf","Don Mann",Fiction,http://books.google.com/books/content?id=DvQbtAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0316474126,"Juror #3","James Patterson",Fiction,http://books.google.com/books/content?id=1CbutAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0316769487,"The Catcher in the Rye","J.D. Salinger",Fiction,http://books.google.com/books/content?id=ZotvleqZomIC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0340977639,"Broken Harbour","Tana French","Detective and mystery stories",http://books.google.com/books/content?id=mYqMvgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0342533541,"The Genealogy of the Brainerd-Brainard Family in America, 1649-1908; Volume 3","Lucy Abigail Brainard",,http://books.google.com/books/content?id=IWN_vQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0345521315,"The Paris Wife","Paula McLain",Fiction,http://books.google.com/books/content?id=yHijygAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0345544986,"A Spark of Light","Jodi Picoult",FICTION,http://books.google.com/books/content?id=Al_pswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0345803787,"Crazy Rich Asians","Kevin Kwan",Fiction,http://books.google.com/books/content?id=NDQzngEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0345807294,"The Circle","Dave Eggers",Fiction,http://books.google.com/books/content?id=gAl_vgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0349012830,"Untitled Sigrid Nunez Novel","Sigrid Nunez",,
0374210373,"The Group","Hilton Als","Social Science",http://books.google.com/books/content?id=KtiwHAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0374355096,"Never So Green","Tim Johnston","Juvenile Fiction",http://books.google.com/books/content?id=vwSaPAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0374525293,"The Women","Hilton Als","Biography & Autobiography",http://books.google.com/books/content?id=nWetYmMmtXMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0375894209,"Mummies in the Morning","Mary Pope Osborne","Juvenile Fiction",http://books.google.com/books/content?id=mN_ALwY3QyAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
037589425X,"Midnight on the Moon","Mary Pope Osborne","Juvenile Fiction",http://books.google.com/books/content?id=oj1gra6e8D4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0375894527,"Christmas in Camelot","Mary Pope Osborne","Juvenile Fiction",http://books.google.com/books/content?id=NEkij38FcIsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0375894594,"Dragon of the Red Dawn","Mary Pope Osborne","Juvenile Fiction",http://books.google.com/books/content?id=4kZbs2NeLJoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0375894616,"Dark Day in the Deep Sea","Mary Pope Osborne","Juvenile Fiction",http://books.google.com/books/content?id=A22j8xKyrXYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0375894802,"Twister on Tuesday","Mary Pope Osborne","Juvenile Fiction",http://books.google.com/books/content?id=gbEtJRRr6RcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0385338732,"Remember Me?","Sophie Kinsella",Fiction,http://books.google.com/books/content?id=qD1fNQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0385528841,"Night Shift","Stephen King",Fiction,http://books.google.com/books/content?id=YTDDiSUsD-EC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
038552885X,"The Stand","Stephen King",Fiction,http://books.google.com/books/content?id=UbfnTcmkaKkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0385529392,"Sag Harbor","Colson Whitehead",Fiction,http://books.google.com/books/content?id=aAEpeOS9F70C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0385543913,Darker,"E. L. James",Fiction,http://books.google.com/books/content?id=msBcswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
038572179X,Atonement,"Ian McEwan",Fiction,http://books.google.com/books/content?id=vZy0xrEHJRUC&printsec=frontcover&img=1&zoom=5&source=gbs_api
039333970X,"Anthill: A Novel","Edward O. Wilson",Fiction,http://books.google.com/books/content?id=McH6nQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0393352803,"The Green Road","Anne Enright",NULL,http://books.google.com/books/content?id=7948jgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0394800168,"Grade 1 Common Core Exemplar Collection","Dr. Seuss","English language",http://books.google.com/books/content?id=VTolm6HG2EgC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0395838959,"Four Stupid Cupids","Gregory Maguire","Juvenile Fiction",http://books.google.com/books/content?id=D0y8P-kofLAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0395873282,"Bald Eagle","Gordon Morrison","Juvenile Nonfiction",http://books.google.com/books/content?id=4IRLDYmkwMwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0399128697,"Pro and Con","Walter Isaacson","Public opinion",
0399142401,Sanctuary,"Nora Roberts",Fiction,http://books.google.com/books/content?id=3PPiukS1Lw8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0399154388,"The Chase","Clive Cussler",Fiction,http://books.google.com/books/content?id=6khDEY9tXWMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0415114772,"English with an Accent","Rosina Lippi","Language Arts & Disciplines",http://books.google.com/books/content?id=O92_-jzsyckC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0415940761,"Selected Poetry","Victor Hugo","Literary Criticism",http://books.google.com/books/content?id=ivSnU3kEjQAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0415967376,"Poems and Essays on Poetry","Edgar Allan Poe","Literary Collections",http://books.google.com/books/content?id=r4YdqN-5FUQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0425098605,"The Vision","Dean Ray Koontz",Fiction,http://books.google.com/books/content?id=1QmEN3mvD18C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
042520359X,"Knit One, Kill Two","Maggie Sefton",Fiction,http://books.google.com/books/content?id=V_nwetXMFbkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0425207072,"A Deadly Yarn","Maggie Sefton",Fiction,http://books.google.com/books/content?id=jZsdaMBMDfIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0425215202,"A Killer Stitch","Maggie Sefton",Fiction,http://books.google.com/books/content?id=BMHzvaMlYBcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0425221806,Watchers,"Dean R. Koontz",Fiction,http://books.google.com/books/content?id=aWOBIggODgwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0425223604,"Fleece Navidad","Maggie Sefton",Fiction,http://books.google.com/books/content?id=bjeAd_DsG74C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0425247449,"What Alice Forgot","Liane Moriarty",Fiction,http://books.google.com/books/content?id=4oEnYAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
043533610X,Islam,"Andrew Egan",Islam,http://books.google.com/books/content?id=MimTS4L27JYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0435975277,"Annie John""","Joyce Stewart",,http://books.google.com/books/content?id=i8BiiGAUuloC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0439136369,"Harry Potter and the Prisoner of Azkaban - Book #3","J. K. Rowling",England,http://books.google.com/books/content?id=_PURvwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
